taxonomy_version,l1_id,l1_name_zh,l1_name_en,l1_description,l1_boundary,l2_id,l2_name_zh,l2_name_en,l2_description,l2_boundary_rule,control_type,typical_body_parts,industrial_examples,l3_naming_pattern
1.0,L1-01,全身位移,Whole-body Locomotion,以整体重心在空间中的平移为核心特征的运动模式。通过下肢周期性步态或全身协调运动，使机器人从一个位置移动到另一个位置。该类动作的核心物理量是机器人整体质心的空间位移矢量。,判定归属L1-01的核心标准：动作执行期间机器人的支撑基底（双脚接触地面的凸包区域）发生了空间平移。若机器人双脚不离开当前支撑位置，仅改变身体构型（如弯腰、转体），则归入L1-02。若上肢在执行操作但身体未发生整体位移，即使存在小幅重心偏移也不归入本类。,L2-01-01,平地直行,Level Surface Straight Walking,在水平、平坦、无障碍的地面上进行的匀速或变速直线行走。这是最基础的位移运动，步态周期规则，不涉及方向突变或地形适应。,与L2-01-02的区别：行进方向变化角度≤15°视为直行，>15°归入变向行走。与L2-01-04的区别：地面坡度≤3°视为平地，>3°归入斜面行走。,位置控制/速度控制,全身/腿部,沿产线通道从A工位步行至B工位；在仓库货架间的直行通道中移动；沿车间主通道巡检行走,[行走]-[地面类型]-[速度约束]，示例：行走-环氧地坪-匀速
1.0,L1-01,全身位移,Whole-body Locomotion,以整体重心在空间中的平移为核心特征的运动模式。通过下肢周期性步态或全身协调运动，使机器人从一个位置移动到另一个位置。该类动作的核心物理量是机器人整体质心的空间位移矢量。,判定归属L1-01的核心标准：动作执行期间机器人的支撑基底（双脚接触地面的凸包区域）发生了空间平移。若机器人双脚不离开当前支撑位置，仅改变身体构型（如弯腰、转体），则归入L1-02。若上肢在执行操作但身体未发生整体位移，即使存在小幅重心偏移也不归入本类。,L2-01-02,变向转弯行走,Directional Change Walking,在行进过程中改变运动方向的步态运动，包括转弯、侧移、后退行走等。步态周期需要动态调整以适应方向变化，涉及左右腿的不对称步幅控制。,与L2-01-01的区别：行进方向变化>15°。与L2-01-06的区别：变向行走发生在开阔空间中，狭窄通行特指空间受限（通道宽度<机器人肩宽1.5倍）的情况。原地旋转不属于本L2，归入L1-02躯干旋转。,位置控制/速度控制,全身/腿部,在L型通道拐角处转弯行走；在工位之间横向侧移步行；到达目标点前调整朝向的弧线行走,[转向行走]-[转向角度范围]-[步态类型]，示例：转向行走-90度弯道-连续步态
1.0,L1-01,全身位移,Whole-body Locomotion,以整体重心在空间中的平移为核心特征的运动模式。通过下肢周期性步态或全身协调运动，使机器人从一个位置移动到另一个位置。该类动作的核心物理量是机器人整体质心的空间位移矢量。,判定归属L1-01的核心标准：动作执行期间机器人的支撑基底（双脚接触地面的凸包区域）发生了空间平移。若机器人双脚不离开当前支撑位置，仅改变身体构型（如弯腰、转体），则归入L1-02。若上肢在执行操作但身体未发生整体位移，即使存在小幅重心偏移也不归入本类。,L2-01-03,梯阶升降,Stair and Step Traversal,在有明确高度落差的台阶、楼梯、登车踏板等垂直结构上进行的升降运动。步态从周期性平面运动变为包含显著垂直分量的三维步态，需要精确的落脚点规划和重心垂直转移控制。,与L2-01-04的区别：梯阶具有离散的水平台面和垂直立面，坡度不连续；斜面行走的坡面连续光滑。与L2-01-05的区别：梯阶是标准化的人工结构，障碍跨越针对不规则的临时障碍物。,力-位混合控制/视觉伺服,全身/腿部,从车间一楼上楼梯到二层设备平台；登上数控机床的操作平台踏步；走下物流卸货区的台阶,[升降]-[阶梯类型]-[方向]，示例：升降-标准工业楼梯-上行
1.0,L1-01,全身位移,Whole-body Locomotion,以整体重心在空间中的平移为核心特征的运动模式。通过下肢周期性步态或全身协调运动，使机器人从一个位置移动到另一个位置。该类动作的核心物理量是机器人整体质心的空间位移矢量。,判定归属L1-01的核心标准：动作执行期间机器人的支撑基底（双脚接触地面的凸包区域）发生了空间平移。若机器人双脚不离开当前支撑位置，仅改变身体构型（如弯腰、转体），则归入L1-02。若上肢在执行操作但身体未发生整体位移，即使存在小幅重心偏移也不归入本类。,L2-01-04,斜面行走,Ramp and Slope Walking,在连续倾斜表面上行走的运动，包括坡道、倾斜地面等。与平地行走相比，需要持续调整踝关节角度和重心前后偏移以适应坡度，且上坡和下坡的控制策略存在本质差异。,与L2-01-01的区别：地面坡度>3°。与L2-01-03的区别：斜面是连续平滑的倾斜面，不存在离散台阶结构。若坡面上有离散凸起或凹陷超过5cm，视为含障碍的复合地形，主要动作仍归入本L2。,力-位混合控制,全身/腿部,沿仓库装卸坡道上下行走；在停车场倾斜地面上移动至设备区；通过车间不同标高之间的过渡坡道,[坡面行走]-[坡度范围]-[方向]，示例：坡面行走-5至15度-上坡
1.0,L1-01,全身位移,Whole-body Locomotion,以整体重心在空间中的平移为核心特征的运动模式。通过下肢周期性步态或全身协调运动，使机器人从一个位置移动到另一个位置。该类动作的核心物理量是机器人整体质心的空间位移矢量。,判定归属L1-01的核心标准：动作执行期间机器人的支撑基底（双脚接触地面的凸包区域）发生了空间平移。若机器人双脚不离开当前支撑位置，仅改变身体构型（如弯腰、转体），则归入L1-02。若上肢在执行操作但身体未发生整体位移，即使存在小幅重心偏移也不归入本类。,L2-01-05,障碍跨越,Obstacle Crossing,在行进路径上遇到地面突起物、缝隙、管线、门槛等非标准障碍时，通过调整步态（抬高步幅、加大跨距）来越过障碍的运动。需要对障碍物进行实时感知和步态在线规划。,与L2-01-03的区别：障碍物是不规则的、非标准的临时物体（如地面线缆、工具箱），而非设计好的台阶结构。与L2-01-06的区别：障碍跨越强调的是垂直方向的抬腿越过，狭窄通行强调的是水平方向的挤过或侧移。,位置控制/视觉伺服,全身/腿部,跨过车间地面上的电缆桥架；越过产线之间的地面导轨凸起；跨过临时放置的地面工具或物料,[跨越]-[障碍物类型]-[高度范围]，示例：跨越-地面线缆-10cm以内
1.0,L1-01,全身位移,Whole-body Locomotion,以整体重心在空间中的平移为核心特征的运动模式。通过下肢周期性步态或全身协调运动，使机器人从一个位置移动到另一个位置。该类动作的核心物理量是机器人整体质心的空间位移矢量。,判定归属L1-01的核心标准：动作执行期间机器人的支撑基底（双脚接触地面的凸包区域）发生了空间平移。若机器人双脚不离开当前支撑位置，仅改变身体构型（如弯腰、转体），则归入L1-02。若上肢在执行操作但身体未发生整体位移，即使存在小幅重心偏移也不归入本类。,L2-01-06,狭窄通行,Confined Space Navigation,在空间受限的环境中（通道宽度接近或小于机器人肩宽的1.5倍）进行的小心行进。需要收缩身体轮廓、降低移动速度，并持续监控与周围结构的距离。,与L2-01-02的区别：狭窄通行的判定条件是空间宽度受限（<机器人肩宽1.5倍），方向变化是被动适应空间而非主动选择。与L2-01-05的区别：狭窄通行的约束来自两侧壁面，障碍跨越的约束来自地面物体。,位置控制/视觉伺服,全身/腿部/腰部,侧身通过两台设备之间的狭窄间隙；穿过半开启的防火门；在密集产线工位之间的窄通道中移动,[通行]-[通道类型]-[宽度约束]，示例：通行-设备间隙-肩宽以内
1.0,L1-01,全身位移,Whole-body Locomotion,以整体重心在空间中的平移为核心特征的运动模式。通过下肢周期性步态或全身协调运动，使机器人从一个位置移动到另一个位置。该类动作的核心物理量是机器人整体质心的空间位移矢量。,判定归属L1-01的核心标准：动作执行期间机器人的支撑基底（双脚接触地面的凸包区域）发生了空间平移。若机器人双脚不离开当前支撑位置，仅改变身体构型（如弯腰、转体），则归入L1-02。若上肢在执行操作但身体未发生整体位移，即使存在小幅重心偏移也不归入本类。,L2-01-07,负载行走,Loaded Walking,在持有重物或大型物体状态下的行走运动。负载改变了机器人的整体质心位置和惯量分布，需要实时调整步态参数（步幅、步频、支撑相时长）以维持动态稳定。,与L2-01-01的区别：负载重量>机器人自重5%或体积导致视野遮挡时归入本L2。抓持动作本身属于L1-04，本L2仅描述负载状态下的行走运动。若负载不影响步态（如手持轻小工具），仍归入其他L2-01类别。,力-位混合控制,全身/腿部/双臂,双手搬运纸箱从收货区走到存储区；扛持长条型材在车间内移动；推着移动工具车在产线间行走,[负载行走]-[载荷特征]-[持握方式]，示例：负载行走-中型箱体-双臂前持
1.0,L1-01,全身位移,Whole-body Locomotion,以整体重心在空间中的平移为核心特征的运动模式。通过下肢周期性步态或全身协调运动，使机器人从一个位置移动到另一个位置。该类动作的核心物理量是机器人整体质心的空间位移矢量。,判定归属L1-01的核心标准：动作执行期间机器人的支撑基底（双脚接触地面的凸包区域）发生了空间平移。若机器人双脚不离开当前支撑位置，仅改变身体构型（如弯腰、转体），则归入L1-02。若上肢在执行操作但身体未发生整体位移，即使存在小幅重心偏移也不归入本类。,L2-01-08,精确停位,Precision Step Positioning,在目标位置精确停止并调整最终站位的微步运动。从行走状态过渡到静止状态，通过小幅步态调整使双脚到达工作所需的精确位置和朝向，位移精度要求达到厘米级。,与L2-01-01/02的区别：精确停位发生在行走末尾的最后1-3步，目标是在指定位置精确停止而非持续行进。与L1-02的区别：精确停位涉及脚底支撑面的小幅平移，L1-02的姿态调整不涉及支撑面平移。,位置控制/视觉伺服,全身/腿部,在CNC机床前精确站位以准备操作面板；在装配工位标定点精确定位；在AGV对接位置精确停位以进行物料交接,[停位]-[参考目标]-[精度要求]，示例：停位-工位标定点-厘米级
1.0,L1-02,躯体姿态调整,Trunk Postural Adjustment,以改变机器人躯干、腰部、腿部的空间构型为核心特征的运动模式，但不产生整体位置的显著平移。通过关节角度变化实现身体重心的垂直升降、前后偏移、左右倾斜或轴向旋转。这类动作的核心目的是调整身体工作姿势或维持外力作用下的平衡稳定。,判定归属L1-02的核心标准：动作执行期间双脚支撑位置基本不变（平移<10cm），但躯干构型发生显著改变。与L1-01的区别：L1-01要求支撑基底发生空间平移。与L1-03的区别：L1-02描述的是躯干和下肢的构型变化，L1-03描述的是上肢的空间运动。若一个动作同时涉及躯干调姿和上肢伸达（如弯腰拿地面物品），则拆分为L1-02弯腰+L1-03伸达两个原子动作。,L2-02-01,站坐跪转换,Stand-Sit-Kneel Transition,在站立、坐下、跪姿之间进行状态切换的大幅度姿态转换运动。涉及重心的大范围垂直位移和多关节协调运动，需要全程维持动态平衡。,与L2-02-03的区别：站坐跪转换的终态是一个稳定的新支撑状态（坐稳、跪稳），下蹲起立的终态仍是双脚支撑。与L2-02-02的区别：站坐跪转换涉及支撑方式根本改变（如从足底支撑变为臀部支撑），弯腰俯身保持足底支撑不变。,力-位混合控制,全身/腿部/腰部,在低矮设备下方工作前从站姿转为跪姿；坐到操作台凳上进行精密装配；从跪姿恢复到站姿准备移动,[转换]-[起始姿态]-[目标姿态]，示例：转换-站立-单膝跪地
1.0,L1-02,躯体姿态调整,Trunk Postural Adjustment,以改变机器人躯干、腰部、腿部的空间构型为核心特征的运动模式，但不产生整体位置的显著平移。通过关节角度变化实现身体重心的垂直升降、前后偏移、左右倾斜或轴向旋转。这类动作的核心目的是调整身体工作姿势或维持外力作用下的平衡稳定。,判定归属L1-02的核心标准：动作执行期间双脚支撑位置基本不变（平移<10cm），但躯干构型发生显著改变。与L1-01的区别：L1-01要求支撑基底发生空间平移。与L1-03的区别：L1-02描述的是躯干和下肢的构型变化，L1-03描述的是上肢的空间运动。若一个动作同时涉及躯干调姿和上肢伸达（如弯腰拿地面物品），则拆分为L1-02弯腰+L1-03伸达两个原子动作。,L2-02-02,弯腰俯身,Bending and Stooping,以腰部为轴心向前弯曲上身的运动，目的是降低手部和头部的工作高度或扩大前方低位的操作范围。保持双脚站立不变，通过髋关节和脊柱关节的屈曲实现。,与L2-02-03的区别：弯腰以髋关节和腰椎屈曲为主，膝关节基本不弯曲或仅微屈；下蹲以膝关节和髋关节同时深度屈曲为主。与L2-02-05的区别：弯腰是在矢状面内（前后方向）的运动，侧倾探伸是在冠状面内（左右方向）的运动。,位置控制,腰部/全身,弯腰查看设备底部的铭牌信息；俯身从低层货架取物前的姿态准备；弯腰检查地面管线的连接状态,[俯身]-[弯曲幅度]-[目标高度]，示例：俯身-深度前屈-膝下高度
