quadrant,scene_name_zh,scene_name_en,industry_code,source_major_code,source_major_name,process_step,value_score,difficulty_score,labor_urgency,scale_potential,superhuman_value,operation_complexity,structure_level,fault_tolerance,takt_pressure,l3_extracted,guide_generated
Q1-优先实施,泄漏检测-罐区管廊-多点巡回,LeakDetection-TankFarmPipeRack-MultiPointPatrol,25-251-2511,25,石油、煤炭及其他燃料加工业,储存,5.0,0.5,5,5,5,1,4,5,5,False,False
Q1-优先实施,巡检读数-化工装置区-有毒腐蚀环境,Inspection-ChemicalPlantArea-ToxicCorrosive,26-261-00,26,化学原料和化学制品制造业,反应合成,5.0,0.5,5,5,5,1,4,5,5,False,False
Q1-优先实施,检测读数-瓦斯传感器-定点抄录,SensorReading-GasDetector-FixedPointRecording,6-61-610,6,煤炭开采和洗选业,通风排水,5.0,0.5,5,5,5,1,4,5,5,False,False
Q1-优先实施,巡检读数-炼油装置区仪表-多层钢结构平台,InspectionReading-RefineryInstruments-MultiLevelPlatform,25-251-2511,25,石油、煤炭及其他燃料加工业,常减压蒸馏,5.0,0.75,5,5,5,2,4,5,5,False,False
Q1-优先实施,巡检监测-陶瓷隧道窑-高温长距,Inspection-CeramicTunnelKiln-HighTempLong,30-307-3071,30,非金属矿物制品业,烧成,5.0,0.75,5,5,5,2,4,5,5,False,False
Q1-优先实施,电解槽短路检测-铝电解-高温巡检,ShortCircuitDetection-AluminumElectrolysis-HighTempInspection,32-00-3216,32,有色金属冶炼和压延加工业,电解,5.0,0.75,5,5,5,2,4,5,5,False,False
Q1-优先实施,巡检监测-尾矿库-有毒粉尘环境,Inspection-TailingsPond-ToxicDustyEnvironment,9-91-00,9,有色金属矿采选业,尾矿处理,5.0,0.75,5,5,5,1,3,5,5,False,False
Q1-优先实施,巡检监测-井下巷道-瓦斯粉尘环境,Inspection-UndergroundTunnel-GasDustEnvironment,6-61-610,6,煤炭开采和洗选业,采掘作业,5.0,1.0,5,5,5,2,3,5,5,False,False
Q1-优先实施,气体检测-危险区域-移动式连续监测,GasDetection-HazardousZone-MobileContinuousMonitoring,7-71-00,7,石油和天然气开采业,安全监控,5.0,1.0,5,5,5,2,3,5,5,False,False
Q1-优先实施,巡检监测-井下采场-粉尘高湿环境,Inspection-UndergroundMiningFace-DustyHumidEnvironment,9-91-00,9,有色金属矿采选业,矿石开采,5.0,1.0,5,5,5,1,2,5,5,False,False
Q1-优先实施,安全巡检-地下矿井巷道-粉尘高温环境,SafetyInspection-UndergroundMineTunnel-DustyHighTemp,10-101-00,10,非金属矿采选业,采掘装载,5.0,1.0,5,5,5,2,3,5,5,False,False
Q1-优先实施,巡检监测-织布机运行状态-断经断纬检测,PatrolInspection-LoomOperationStatus-WarpWeftBreakDetection,17-171-1712,17,纺织业,织造,4.67,0.5,4,5,5,1,4,5,5,False,False
Q1-优先实施,巡检监测-造纸机烘缸段-高温连续,Inspection-PaperMachineDryerSection-HighTemperatureContinuous,22-222-2221,22,造纸和纸制品业,烘干,4.67,0.5,5,4,5,1,4,5,5,False,False
Q1-优先实施,巡检检漏-氨区管道-有毒制冷剂,LeakInspection-AmmoniaPipeline-ToxicRefrigerant,26-00-2621,26,化学原料和化学制品制造业,反应造粒,4.67,0.5,5,4,5,1,4,5,5,False,False
Q1-优先实施,巡检监测-聚合反应釜-温压异常,Inspection-PolymerizationReactor-TempPressure,26-00-2651,26,化学原料和化学制品制造业,聚合反应,4.67,0.5,5,4,5,1,4,5,5,True,True
Q1-优先实施,设备巡检-高温反应区-热辐射危害,EquipmentInspection-HighTempZone-ThermalRadiation,26-00-00,26,化学原料和化学制品制造业,反应合成,4.67,0.5,5,4,5,1,4,5,5,True,True
Q1-优先实施,巡检读数-纺丝车间设备-高温环境,Inspection-SpinningEquipment-HighTemperature,28-282-00,28,化学纤维制造业,熔融纺丝,4.67,0.5,5,4,5,1,4,5,5,False,False
Q1-优先实施,巡检监测-选矿厂皮带廊-长距离多节点,Inspection-ConveyorGallery-LongDistanceMultiNode,8-00-00,8,黑色金属矿采选业,矿石运输,4.67,0.5,4,5,5,1,4,5,5,False,False
Q1-优先实施,巡检监测-电解槽组-高温腐蚀环境,Inspection-ElectrolyticCellArray-HighTempCorrosiveEnvironment,9-00-916,9,有色金属矿采选业,电解,4.67,0.5,5,4,5,1,4,5,5,False,False
Q1-优先实施,巡检监测-矿用皮带廊-长距离巡检,Inspection-MiningBeltConveyor-LongDistancePatrol,9-91-00,9,有色金属矿采选业,矿石运输,4.67,0.5,4,5,5,1,4,5,5,False,False
Q1-优先实施,巡检操作-电气设备间-多点抄表,Inspection-ElectricalRoom-MultiPointReading,38-389-3899,38,电气机械和器材制造业,定期巡检,4.67,0.5,4,5,5,1,4,5,5,False,False
Q1-优先实施,设备监测-泵房机组-振动温度采集,EquipmentMonitoring-PumpHouse-VibrationTempCollection,25-251-2511,25,石油、煤炭及其他燃料加工业,常减压蒸馏,4.67,0.75,4,5,5,2,4,5,5,False,False
Q1-优先实施,巡检监测-煤气净化区-有毒气体环境,PatrolMonitoring-CokeGasPurification-ToxicGasZone,25-252-2521,25,石油、煤炭及其他燃料加工业,煤气净化,4.67,0.75,5,4,5,2,4,5,5,False,False
Q1-优先实施,巡检监测-煤制甲醇装置-易燃易爆区,PatrolMonitoring-CoalToMethanolPlant-FlammableZone,25-252-2523,25,石油、煤炭及其他燃料加工业,合成,4.67,0.75,5,4,5,2,4,5,5,False,False
Q1-优先实施,巡检监测-回转窑外壁-高温区域,Inspection-RotaryKilnShell-HighTempZone,30-301-3011,30,非金属矿物制品业,回转窑煅烧,4.67,0.75,5,4,5,2,4,5,5,False,False
Q1-优先实施,巡检监测-石灰窑炉-高温粉尘,Inspection-LimeKiln-HighTempDust,30-301-3012,30,非金属矿物制品业,竖窑/回转窑煅烧,4.67,0.75,5,4,5,2,4,5,5,False,False
Q1-优先实施,巡检监测-玻璃熔窑-高温观火,Inspection-GlassFurnace-HighTempFlame,30-304-3041,30,非金属矿物制品业,熔化,4.67,0.75,5,4,5,2,4,5,5,False,False
Q1-优先实施,巡检监测-玻纤池窑-粉尘高温,Inspection-FiberglassKiln-DustHighTemp,30-306-3061,30,非金属矿物制品业,熔化,4.67,0.75,5,4,5,2,4,5,5,False,False
Q1-优先实施,巡检监测-耐火窑炉-极端高温,Inspection-RefractoryKiln-ExtremeTemp,30-308-3089,30,非金属矿物制品业,烧成,4.67,0.75,5,4,5,2,4,5,5,False,False
Q1-优先实施,巡检监测-轧机区域设备-高温振动噪音,Inspection-RollingMillArea-HighTempVibrationNoise,31-313-3130,31,黑色金属冶炼和压延加工业,精轧,4.67,0.75,4,5,5,2,4,5,5,False,False
Q1-优先实施,巡检测温-熔炼炉区-高温辐射环境,Inspection-SmeltingFurnaceZone-HighTempRadiation,32-321-00,32,有色金属冶炼和压延加工业,熔炼,4.67,0.75,5,4,5,2,4,5,5,False,False
Q1-优先实施,储罐巡检-原油罐区-外观及附件检查,TankInspection-CrudeOilTankFarm-ExteriorAndAccessoryCheck,7-71-00,7,石油和天然气开采业,储运,4.67,0.75,4,5,5,2,4,5,5,False,False
Q1-优先实施,电气巡检-配电设施-红外测温及读数,ElectricalInspection-PowerDistribution-InfraredThermographyAndReading,7-71-00,7,石油和天然气开采业,设备维护,4.67,0.75,4,5,5,2,4,5,5,False,False
Q1-优先实施,巡检监测-球磨机衬板-高温粉尘环境,Inspection-BallMillLiner-HighTempDustyEnvironment,9-91-00,9,有色金属矿采选业,磨矿,4.67,0.75,5,4,5,2,4,5,5,False,False
