process_step,process_rank,scene_name_zh,source_major_name,value_score,difficulty_score,labor_urgency,scale_potential,superhuman_value
包装,1,搬运码垛-建筑瓷砖-重型批量,非金属矿物制品业,4.33,1.75,4,5,4
包装,1,码垛搬运-袋装肥料-50kg重载,化学原料和化学制品制造业,4.0,1.25,4,5,3
包装,1,造粒包装-塑料粒子-25kg袋装,化学原料和化学制品制造业,4.0,1.25,4,5,3
包装,1,辅料包装-药用淀粉-袋装码垛,医药制造业,4.0,1.25,4,5,3
包装,1,成品打标-包装线-追溯标识,有色金属冶炼和压延加工业,4.0,1.25,3,5,4
包装,1,搬运码垛-成品轮胎-重载异形,橡胶和塑料制品业,4.0,1.5,4,5,3
包装,1,包装装箱-消费电子产品-多配件组合,计算机、通信和其他电子设备制造业,4.0,1.5,3,5,4
包装,1,钢卷打捆包装-成品捆扎-重载双臂协作,黑色金属冶炼和压延加工业,4.0,1.75,3,5,4
包装,1,包装作业-成品家具-异形大件,家具制造业,3.67,1.25,3,5,3
包装,1,品质抽检-成品检测-多项目测试,食品制造业,3.67,1.25,2,5,4
原料入库,2,原料入库-桶装粉末原料-重载搬运,医药制造业,4.33,1.5,4,5,4
原料入库,2,废料分拣-回收车间-重金属粉尘,有色金属冶炼和压延加工业,4.33,1.5,5,4,4
原料入库,2,搬运码垛-袋装原料-25kg重载,食品制造业,4.0,1.5,4,5,3
原料入库,2,元器件分拣-入库前-多规格分类,仪器仪表制造业,4.0,1.5,3,5,4
原料入库,2,原料仓库盘点-干料仓储区-多货架巡查,酒、饮料和精制茶制造业,3.67,0.5,2,5,4
原料入库,2,搬运码垛-棉包原料-200kg重载,纺织业,3.67,1.25,4,4,3
原料入库,2,搬运码垛-布卷-多规格重载,纺织服装、服饰业,3.67,1.5,4,4,3
原料入库,2,物料配送-多楼层厂房-跨区转运,食品制造业,3.67,1.5,4,4,3
原料入库,2,搬运投料-食品机械车间-不锈钢部件,专用设备制造业,3.67,1.75,3,5,3
原料入库,2,搬运码垛-重型铸件毛坯-50kg以上,专用设备制造业,3.67,2.0,4,4,3
检测,3,带材表面检测-冷轧出口-连续高速,有色金属冶炼和压延加工业,4.67,1.75,4,5,5
检测,3,检测包装-医用手套-无菌洁净,橡胶和塑料制品业,4.67,2.0,4,5,5
检测,3,外观检测-零部件-批量抽检,汽车制造业,4.33,0.75,3,5,5
检测,3,外观检测-塑料注塑件-多面翻转,橡胶和塑料制品业,4.33,1.5,3,5,5
检测,3,铸锭表面检测-连铸机出口-高温坯料,有色金属冶炼和压延加工业,4.33,1.5,4,4,5
检测,3,焊缝巡检-锅炉内壁-受限空间,通用设备制造业,4.0,1.0,5,3,4
检测,3,外观检测-平板玻璃-缺陷分选,非金属矿物制品业,4.0,1.5,3,4,5
检测,3,检测调试-摩托车整车下线-多项功能检测,铁路、船舶、航空航天和其他运输设备制造业,4.0,1.5,3,5,4
检测,3,铜管探伤-质检工位-无损检测,有色金属冶炼和压延加工业,4.0,2.0,3,4,5
检测,3,搬运装卸-显示面板-大尺寸玻璃基板,计算机、通信和其他电子设备制造业,4.0,2.0,5,3,4
