quadrant,rank,scene_name_zh,source_major_name,value_score,difficulty_score,highlight
Q1-优先实施,1,泄漏检测-罐区管廊-多点巡回,石油、煤炭及其他燃料加工业,5.0,0.5,价值最高、难度最低
Q1-优先实施,2,巡检读数-化工装置区-有毒腐蚀环境,化学原料和化学制品制造业,5.0,0.5,价值最高、难度最低
Q1-优先实施,3,检测读数-瓦斯传感器-定点抄录,煤炭开采和洗选业,5.0,0.5,价值最高、难度最低
Q1-优先实施,4,巡检读数-炼油装置区仪表-多层钢结构平台,石油、煤炭及其他燃料加工业,5.0,0.75,价值最高、难度最低
Q1-优先实施,5,巡检监测-陶瓷隧道窑-高温长距,非金属矿物制品业,5.0,0.75,价值最高、难度最低
Q1-优先实施,6,电解槽短路检测-铝电解-高温巡检,有色金属冶炼和压延加工业,5.0,0.75,价值最高、难度最低
Q1-优先实施,7,巡检监测-尾矿库-有毒粉尘环境,有色金属矿采选业,5.0,0.75,价值最高、难度最低
Q1-优先实施,8,巡检监测-井下巷道-瓦斯粉尘环境,煤炭开采和洗选业,5.0,1.0,价值最高、难度最低
Q1-优先实施,9,气体检测-危险区域-移动式连续监测,石油和天然气开采业,5.0,1.0,价值最高、难度最低
Q1-优先实施,10,巡检监测-井下采场-粉尘高湿环境,有色金属矿采选业,5.0,1.0,价值最高、难度最低
Q1-优先实施,11,安全巡检-地下矿井巷道-粉尘高温环境,非金属矿采选业,5.0,1.0,价值最高、难度最低
Q1-优先实施,12,巡检监测-织布机运行状态-断经断纬检测,纺织业,4.67,0.5,价值最高、难度最低
Q1-优先实施,13,巡检监测-造纸机烘缸段-高温连续,造纸和纸制品业,4.67,0.5,价值最高、难度最低
Q1-优先实施,14,巡检检漏-氨区管道-有毒制冷剂,化学原料和化学制品制造业,4.67,0.5,价值最高、难度最低
Q1-优先实施,15,巡检监测-聚合反应釜-温压异常,化学原料和化学制品制造业,4.67,0.5,价值最高、难度最低
Q1-优先实施,16,设备巡检-高温反应区-热辐射危害,化学原料和化学制品制造业,4.67,0.5,价值最高、难度最低
Q1-优先实施,17,巡检读数-纺丝车间设备-高温环境,化学纤维制造业,4.67,0.5,价值最高、难度最低
Q1-优先实施,18,巡检监测-选矿厂皮带廊-长距离多节点,黑色金属矿采选业,4.67,0.5,价值最高、难度最低
Q1-优先实施,19,巡检监测-电解槽组-高温腐蚀环境,有色金属矿采选业,4.67,0.5,价值最高、难度最低
Q1-优先实施,20,巡检监测-矿用皮带廊-长距离巡检,有色金属矿采选业,4.67,0.5,价值最高、难度最低
Q2-重点攻关,1,注液操作-锂电池电芯-洁净精密,电气机械和器材制造业,5.0,2.0,价值高但难度大
Q2-重点攻关,2,灌装监控-液态乳-无菌区辅助,食品制造业,4.67,2.25,价值高但难度大
Q2-重点攻关,3,装配组装-电池包-模组堆叠,汽车制造业,4.67,2.25,价值高但难度大
Q2-重点攻关,4,拆解分离-废旧电子产品-含危废元件,废弃资源综合利用业,4.67,2.25,价值高但难度大
Q2-重点攻关,5,海上风电维护-海上风机平台-远程遥操作,电力、热力生产和供应业,4.67,2.25,价值高但难度大
Q2-重点攻关,6,喷涂作业-木质家具-油性漆多层,家具制造业,4.67,2.0,价值高但难度大
Q2-重点攻关,7,检测包装-医用手套-无菌洁净,橡胶和塑料制品业,4.67,2.0,价值高但难度大
Q2-重点攻关,8,乳粉罐装-婴配粉-洁净区作业,食品制造业,4.67,2.0,价值高但难度大
Q2-重点攻关,9,涂装喷涂-船舱内部压载舱-密闭有毒气体环境,铁路、船舶、航空航天和其他运输设备制造业,4.67,2.0,价值高但难度大
Q2-重点攻关,10,开关操作-配电柜倒闸-安全隔离,电气机械和器材制造业,4.67,2.0,价值高但难度大
Q2-重点攻关,11,拆解回收-废旧锂电池-带电解液处理,废弃资源综合利用业,4.67,2.0,价值高但难度大
Q2-重点攻关,12,灌装操作-口服液小容量-无菌环境,医药制造业,4.67,1.75,价值高但难度大
Q2-重点攻关,13,钢材表面检测-带钢缺陷识别-高速连续运行,黑色金属冶炼和压延加工业,4.67,1.75,价值高但难度大
Q2-重点攻关,14,阳极更换-电解槽-腐蚀高温环境,有色金属冶炼和压延加工业,4.67,1.75,价值高但难度大
Q2-重点攻关,15,出铝作业-电解槽-高温铝液,有色金属冶炼和压延加工业,4.67,1.75,价值高但难度大
Q2-重点攻关,16,换极作业-铝电解槽-阳极炭块更换,有色金属冶炼和压延加工业,4.67,1.75,价值高但难度大
Q2-重点攻关,17,带材表面检测-冷轧出口-连续高速,有色金属冶炼和压延加工业,4.67,1.75,价值高但难度大
Q2-重点攻关,18,外观检测-手机壳体-多面翻转全检,计算机、通信和其他电子设备制造业,4.67,1.75,价值高但难度大
Q2-重点攻关,19,搬运装卸-晶圆FOUP盒-洁净室无尘,计算机、通信和其他电子设备制造业,4.67,1.75,价值高但难度大
Q2-重点攻关,20,加氯间操作-消毒投加设备-氯气泄漏风险区,水的生产和供应业,4.67,1.75,价值高但难度大
Q3-可填充,1,电缆隧道巡检-电力供应电缆通道-狭窄地下空间,电力、热力生产和供应业,3.67,0.25,难度低可快速落地
Q3-可填充,2,仓库盘点-成品药品库-周期盘存,医药制造业,3.67,0.5,难度低可快速落地
Q3-可填充,3,环境监测-洁净室悬浮粒子-定点采样,医药制造业,3.67,0.5,难度低可快速落地
Q3-可填充,4,检测读数-仪表盘数据抄录-多点分散,黑色金属矿采选业,3.67,0.5,难度低可快速落地
Q3-可填充,5,冷藏库巡检-果蔬仓储-温湿度监控,农副食品加工业,3.67,0.5,难度低可快速落地
Q3-可填充,6,油罐区巡检-大型储罐-防爆测漏,农副食品加工业,3.67,0.5,难度低可快速落地
Q3-可填充,7,原料仓库盘点-干料仓储区-多货架巡查,酒、饮料和精制茶制造业,3.67,0.5,难度低可快速落地
Q3-可填充,8,提取监控-中药材水提-多锅巡检,医药制造业,3.33,0.5,难度低可快速落地
Q3-可填充,9,鱼糜加工巡检-擂溃车间-低温潮湿,农副食品加工业,3.33,0.5,难度低可快速落地
Q3-可填充,10,清洁擦拭-整车PDI-交付前处理,汽车制造业,3.33,0.5,难度低可快速落地
Q3-可填充,11,巡检监测-破碎设备-运行状态检查,废弃资源综合利用业,3.33,0.5,难度低可快速落地
Q3-可填充,12,安全测试-童车产品-负载冲击,文教、工美、体育和娱乐用品制造业,3.0,0.5,难度低可快速落地
Q3-可填充,13,巡检监测-矿泉水泵房设备-洁净区域,其他采矿业,3.0,0.5,难度低可快速落地
Q3-可填充,14,酒窖巡检-地下酒窖-多层空间,酒、饮料和精制茶制造业,3.0,0.5,难度低可快速落地
Q3-可填充,15,检测记录-游艇内饰质检-多角度外观检查,铁路、船舶、航空航天和其他运输设备制造业,3.0,0.5,难度低可快速落地
Q3-可填充,16,搬运码垛-成品鞋箱-重载作业,皮革、毛皮、羽毛及其制品和制鞋业,3.67,0.75,难度低可快速落地
Q3-可填充,17,设备巡检-木材加工车间-多机台监控,木材加工和木、竹、藤、棕、草制品业,3.67,0.75,难度低可快速落地
Q3-可填充,18,印刷车间巡检-设备状态-多机台覆盖,印刷和记录媒介复制业,3.67,0.75,难度低可快速落地
Q3-可填充,19,巡检监测-电炉区域设备-强电弧辐射噪音,黑色金属冶炼和压延加工业,3.67,0.75,难度低可快速落地
Q3-可填充,20,巡检读数-地热井场仪表-高温蒸汽环境,其他采矿业,3.67,0.75,难度低可快速落地
Q4-暂缓,1,原料搬运-雪茄制造-烟叶片材,烟草制品业,2.33,1.75,价值低且难度高
Q4-暂缓,2,装配组装-教学模型-多部件拼接,文教、工美、体育和娱乐用品制造业,2.33,1.75,价值低且难度高
Q4-暂缓,3,整形修剪-刷头毛面-多角度平整,其他制造业,2.33,1.75,价值低且难度高
Q4-暂缓,4,编织成型-藤草制品-手工技艺,木材加工和木、竹、藤、棕、草制品业,2.33,2.25,价值低且难度高
Q4-暂缓,5,拆解散叶-烟叶原料包-多规格适配,烟草制品业,2.67,1.75,价值低且难度高
Q4-暂缓,6,拉伸定型-毛皮加工-双臂协作,皮革、毛皮、羽毛及其制品和制鞋业,2.67,1.75,价值低且难度高
Q4-暂缓,7,搬运定位-钢琴整机-重载双臂,文教、工美、体育和娱乐用品制造业,2.67,1.75,价值低且难度高
Q4-暂缓,8,蜜饯翻晒-果脯加工-户外作业,食品制造业,2.67,1.75,价值低且难度高
Q4-暂缓,9,编织成型-藤编工艺品-复杂纹样,文教、工美、体育和娱乐用品制造业,2.67,2.0,价值低且难度高
Q4-暂缓,10,弯曲成型-竹藤材料-蒸汽软化后,家具制造业,2.67,2.5,价值低且难度高
Q4-暂缓,11,揭纸整理-手工宣纸-轻柔操作,造纸和纸制品业,2.67,2.5,价值低且难度高
Q4-暂缓,12,整经穿纱-整经机纱架-大量单根操作,纺织业,3.0,1.75,价值低且难度高
Q4-暂缓,13,绗缝上下料-大幅面被芯-多人协作替代,纺织业,3.0,1.75,价值低且难度高
Q4-暂缓,14,绕弦安装-钢琴琴弦-高张力定位,文教、工美、体育和娱乐用品制造业,3.0,1.75,价值低且难度高
Q4-暂缓,15,搬运转运-聚合切片-吨袋装卸,化学纤维制造业,3.0,1.75,价值低且难度高
Q4-暂缓,16,旋拧操作-地热井口阀门手轮-高温防护,其他采矿业,3.0,1.75,价值低且难度高
Q4-暂缓,17,勾兑物料配送-调酒车间-多罐体切换,酒、饮料和精制茶制造业,3.0,1.75,价值低且难度高
Q4-暂缓,18,茶叶包装封口-精制茶包装线-小袋定量,酒、饮料和精制茶制造业,3.0,1.75,价值低且难度高
Q4-暂缓,19,上料补充-条盒包装机-商标纸条盒,烟草制品业,3.0,2.0,价值低且难度高
Q4-暂缓,20,接经换轴-织机换品种-双臂协作,纺织业,3.0,2.0,价值低且难度高
