rank,process_step,category,scene_count,intervention_roi,value_density,avg_difficulty_score,insight
1,包装,包装成品,23,54.87,83.95,1.53,收益显著，值得优先布局
2,原料入库,仓储物流,16,40.11,56.96,1.42,难度低，适合快速复制
3,检测,检测质控,14,39.65,56.7,1.43,难度低，适合快速复制
4,检验,检测质控,12,33.33,45.0,1.35,难度低，适合快速复制
5,设备巡检,巡检维护,7,30.75,27.37,0.89,难度低，适合快速复制
6,设备维护,巡检维护,13,30.47,49.66,1.63,需评估具体场景
7,质检,检测质控,9,29.31,34.29,1.17,难度低，适合快速复制
8,功能测试,检测质控,8,28.32,28.32,1.0,难度低，适合快速复制
9,检测测试,检测质控,8,26.08,31.04,1.19,难度低，适合快速复制
10,成品出库,仓储物流,8,23.15,30.32,1.31,难度低，适合快速复制
11,配料称量,原料处理,10,22.8,38.3,1.68,需评估具体场景
12,整车检测,检测质控,4,22.67,17.0,0.75,难度低，适合快速复制
13,总装,其他工序,13,22.54,51.61,2.29,需评估具体场景
14,采掘作业,其他工序,8,21.8,33.36,1.53,需评估具体场景
15,灌装,其他工序,9,20.72,35.64,1.72,需评估具体场景
16,反应合成,加工制造,3,18.68,14.01,0.75,需评估具体场景
17,涂装,其他工序,7,18.59,28.63,1.54,需评估具体场景
18,储存,仓储物流,4,17.68,17.68,1.0,需评估具体场景
19,清洗,其他工序,6,17.05,22.68,1.33,需评估具体场景
20,老化筛选,其他工序,2,16.68,8.34,0.5,需评估具体场景
21,破碎筛分,原料处理,7,16.48,27.02,1.64,需评估具体场景
22,日常巡检,巡检维护,4,16.44,13.32,0.81,需评估具体场景
23,熔炼,加工制造,5,16.15,21.0,1.3,需评估具体场景
24,设备维护检修,巡检维护,5,16.15,21.0,1.3,需评估具体场景
25,蒸发浓缩,其他工序,2,16.0,8.0,0.5,需评估具体场景
26,计量,其他工序,1,16.0,4.0,0.25,需评估具体场景
27,高压泵送,其他工序,1,16.0,4.0,0.25,需评估具体场景
28,聚合反应,加工制造,3,15.65,12.99,0.83,需评估具体场景
29,码垛,包装成品,6,15.32,22.98,1.5,需评估具体场景
30,采掘装载,其他工序,5,14.93,21.65,1.45,需评估具体场景
31,电缆巡检,巡检维护,1,14.68,3.67,0.25,需评估具体场景
32,成品入库,仓储物流,5,14.35,18.65,1.3,需评估具体场景
33,压片灌装,其他工序,4,14.29,16.0,1.12,需评估具体场景
34,包装入库,仓储物流,6,14.26,19.68,1.38,需评估具体场景
35,搬运码垛,仓储物流,5,14.12,18.35,1.3,需评估具体场景
36,人工分拣,其他工序,5,14.07,19.0,1.35,需评估具体场景
37,巡检维护,巡检维护,2,13.97,8.66,0.62,需评估具体场景
38,管网输配,其他工序,5,13.77,21.35,1.55,需评估具体场景
39,选矿,其他工序,5,13.57,20.35,1.5,需评估具体场景
40,电解,加工制造,4,13.54,18.68,1.38,需评估具体场景
41,矿石运输,其他工序,5,13.33,20.0,1.5,需评估具体场景
42,选别作业,其他工序,5,12.9,18.7,1.45,需评估具体场景
43,常减压蒸馏,加工制造,3,12.67,13.68,1.08,需评估具体场景
44,熔化,其他工序,2,12.45,9.34,0.75,需评估具体场景
45,定期巡检,巡检维护,2,12.45,9.34,0.75,需评估具体场景
46,人工拆解,其他工序,6,12.26,25.02,2.04,需评估具体场景
47,复烤干燥,其他工序,2,11.84,7.34,0.62,需评估具体场景
48,吹炼熔炼,加工制造,4,11.83,16.32,1.38,需评估具体场景
49,萃取分离,加工制造,2,11.55,8.66,0.75,需评估具体场景
50,烧成,加工制造,3,11.41,13.35,1.17,需评估具体场景
51,热处理,加工制造,4,11.33,16.32,1.44,需评估具体场景
52,外观检测,检测质控,4,11.12,16.68,1.5,需评估具体场景
53,缝制加工,加工制造,5,11.1,16.65,1.5,需评估具体场景
54,发酵,其他工序,3,11.1,12.99,1.17,需评估具体场景
55,尾矿处理,环保安全,3,10.94,13.68,1.25,需评估具体场景
