scene_name_zh,scene_name_en,industry_code,industry_chain,process_step,scene_description,selection_rationale,source_major_code,source_major_name,labor_urgency_score,labor_urgency_basis,scale_potential_score,scale_potential_basis,superhuman_value_score,superhuman_value_basis,operation_complexity_score,operation_complexity_basis,structure_level_score,structure_level_basis,fault_tolerance_score,fault_tolerance_basis,takt_pressure_score,takt_pressure_basis
巡检操作-排水泵房-设备切换,Inspection-DrainagePumpRoom-EquipmentSwitching,6-61-610,地质勘探→矿井建设→采掘作业→运输提升→通风排水→洗选加工→仓储堆存→装车外运,通风排水,该工位位于井下主排水泵房，是矿井安全生产的关键保障设施。当前由水泵工值守，负责监控水位、水泵运行状态、电机温度，根据水位切换水泵运行台数，操作阀门和启停按钮。泵房一般有3-5台主水泵，阀门手轮直径15-25厘米。典型配置为每班1人值守，单次巡检+操作耗时15-30分钟。该工位问题是水泵切换不及时可能导致淹井事故、夜班值守人员易疲劳走神、水泵故障预警依赖经验。,排水泵房属于矿井安全关键设施，需7×24持续监控（入口四-注意力衰减）；设备操作为人手设计的阀门和按钮（入口一）；运行数据有法规追溯要求（入口五）。,6,煤炭开采和洗选业,4,水泵工需24小时值守，夜班疲劳易导致响应迟钝,4,每座矿井至少1个主排水泵房，全国数千个,5,命中V1全时在线、V2一致性、V5运行数据、V6振动温度监测、V7故障数据,3,涉及阀门旋拧和按钮操作，需定位准确,5,泵房布局固定，设备位置标准化，无人员走动,2,水泵切换失误可能导致水淹或设备损坏,4,需响应水位变化，但非严格节拍
巡检监测-井下巷道-瓦斯粉尘环境,Inspection-UndergroundTunnel-GasDustEnvironment,6-61-610,地质勘探→矿井建设→采掘作业→运输提升→通风排水→洗选加工→仓储堆存→装车外运,采掘作业,该工位位于采掘工作面与主巷道之间的联络巷，上游为采煤机组，下游为运输皮带。当前由安全员人工每2小时沿固定路线巡检，检查内容包括顶板状态、支护完整性、瓦斯浓度读数、通风设施状态。巡检路线单程约800-1500米，涉及台阶、斜坡、狭窄通道，需携带便携式瓦斯检测仪和手电。典型配置为每班2名安全巡检员轮流巡检，单次巡检耗时40-60分钟。该工位主要问题是瓦斯超限时人员撤离不及时、巡检记录依赖手工填写存在漏填错填、夜班巡检员疲劳导致检查不到位。,井下环境存在瓦斯、粉尘爆炸风险，属于人类不宜长期到达场景（入口二）；巷道空间为人体设计，有台阶和狭窄通道，轮式方案无法通行（入口一）；巡检漏检可下轮补上（入口三）；安全监测数据有法规强制追溯要求（入口五）。,6,煤炭开采和洗选业,5,井下瓦斯、粉尘环境，近年矿难事故多因人员在危险区域作业,5,全国煤矿超4000座，每座矿井需覆盖多条巷道，同类工位以万计,5,命中V1全时在线、V2一致性、V5过程数据、V6超人感知(瓦斯)、V7失败数据,2,主要为行走观察和仪表读数，偶有阀门旋拧，无精密操作,3,巷道固定但存在临时障碍物，光照差需自带照明,5,漏检一个点位下轮可补，不造成任何物料损伤,5,无节拍要求，按固定频次完成即可
巡检监测-储煤场-自燃预警,Inspection-CoalStockyard-SpontaneousCombustionMonitoring,6-61-610,地质勘探→矿井建设→采掘作业→运输提升→通风排水→洗选加工→仓储堆存→装车外运,仓储堆存,该工位覆盖露天或封闭储煤场，上游为洗选车间成品煤皮带，下游为装车站。当前由巡检工定时巡查煤堆状态，重点检测煤堆温度异常点（自燃预警）、煤堆坍塌风险、积水状况。储煤场面积数千至数万平方米，煤堆高度5-15米。典型配置为每班1-2人巡检，单次全场巡检耗时60-120分钟。该工位问题是人工巡检覆盖面积有限、煤堆内部升温难以及时发现、夜间巡检视野受限。,储煤场存在自燃风险，需持续监控温度异常（入口二延伸-火灾风险）；大面积巡检人类注意力易衰减（入口四）；自燃预警数据需追溯（入口五）。,6,煤炭开采和洗选业,3,储煤场巡检工作强度大，夏季高温冬季严寒环境艰苦,4,全国煤矿及电厂储煤场以万计,5,命中V1全时、V2覆盖一致、V5温度记录、V6红外热成像、V7异常数据,1,纯行走观察和红外检测，无物理操作,2,煤堆形状变化，地面不平，存在临时障碍,5,漏检一次下轮补上，自燃发展有时间窗口,5,按固定频次完成即可
巡检监测-洗选车间-多设备巡回,Inspection-CoalWashingPlant-MultiEquipmentPatrol,6-61-610,地质勘探→矿井建设→采掘作业→运输提升→通风排水→洗选加工→仓储堆存→装车外运,洗选加工,该工位覆盖洗选车间主要设备区，包括跳汰机、重介旋流器、浮选机、压滤机等。当前由设备巡检工沿固定路线检查设备运行状态，内容包括电机温度、振动、油位、皮带张紧度、管道泄漏等。车间为多层结构，巡检路线涉及楼梯、平台、狭窄通道，地面湿滑有积水。典型配置为每班2-3人巡检，覆盖全车间设备，单次全面巡检耗时60-90分钟。该工位问题是多层车间人员上下楼梯体力消耗大、湿滑环境易滑倒、设备故障预警依赖经验。,洗选车间为多层人行楼梯结构，轮式方案无法上下楼（入口一-空间适配）；车间湿滑环境存在人员滑倒风险（入口二）；需在多工位间移动检查不同设备（入口一-多工位切换）。,6,煤炭开采和洗选业,3,地面环境较井下安全，但仍有湿滑跌倒风险,4,全国约2000座选煤厂，每座数十台主要设备,5,命中V1全时、V2一致性、V5数据记录、V6振动热成像、V7故障数据,2,主要为行走观察和仪表读数，偶有简单操作,3,车间布局固定但地面湿滑，存在临时障碍,4,漏检单台设备下轮可补，不造成直接损失,5,按固定频次完成即可
巡检监测-皮带运输机-沿线全程,Inspection-BeltConveyor-FullLinePatrol,6-61-610,地质勘探→矿井建设→采掘作业→运输提升→通风排水→洗选加工→仓储堆存→装车外运,运输提升,该工位沿井下主运输皮带巷道分布，连接采掘工作面与主井提升系统。当前由皮带巡检工沿皮带运行方向步行检查，内容包括皮带跑偏、托辊转动、接头状态、煤流堆积、皮带撕裂等。单条主皮带长度500-2000米，巡检通道宽度约0.8-1.2米，存在台阶和积水。典型配置为每班1-2人负责主运输巷皮带巡检，单程巡检耗时30-50分钟。该工位问题是皮带撕裂发现不及时导致数十米皮带报废、托辊卡死导致皮带磨穿、巡检工长时间行走疲劳导致漏检。,皮带巷道狭窄，仅供人行走，轮式机器人难以通行（入口一-空间适配）；巡检漏项可下轮补上（入口三）；人类长时间行走注意力衰减（入口四）。,6,煤炭开采和洗选业,4,皮带巡检工需长时间在粉尘环境行走，职业健康问题突出,5,每座矿井多条运输皮带，全国煤矿皮带总长以万公里计,5,命中V1全时、V2一致性、V3操作检测合并(视觉+红外)、V5过程数据、V6热成像检测托辊,1,纯行走观察任务，无物理操作,3,巷道固定但存在积水、落煤等临时障碍,4,漏检单个托辊短期不影响运行，下轮可补,5,按固定频次完成即可，无节拍压力
巡检监测-褐煤堆场-高自燃风险,Inspection-LigniteStockyard-HighSpontaneousCombustionRisk,6-62-620,地质勘探→矿井建设→采掘作业→运输提升→通风排水→洗选加工→仓储堆存→装车外运,仓储堆存,该工位覆盖褐煤露天堆场，褐煤因煤化程度低更易自燃。当前由巡检工定时巡查，重点检测煤堆表面温度、冒烟点、变色区域。褐煤堆场需更频繁巡检，夏季每2小时一次。典型配置为每班2-3人轮流巡检，单次全场耗时40-60分钟。该工位问题是褐煤自燃速度快、人工巡检频次受限、夜间和恶劣天气巡检质量下降。,褐煤自燃风险高于烟煤，需更高频监控（入口四-注意力要求）；大面积覆盖巡检人力有限（入口八-规模化）；红外热成像超越人眼能力（入口相关-超人感知）。,6,煤炭开采和洗选业,4,褐煤自燃事故频发，巡检不到位后果严重,3,褐煤矿区集中，主要在内蒙古东部和云南,5,命中V1全时、V2覆盖一致、V5温度记录、V6红外热成像、V7异常数据,1,纯行走和红外检测,2,褐煤堆形状易变，地面松软,4,漏检一次可补，但自燃发展快需高频监测,4,高频巡检但无严格节拍
应急救援-灾区侦测-危险环境,EmergencyRescue-DisasterAreaReconnaissance-HazardousEnvironment,6-61-610,地质勘探→矿井建设→采掘作业→运输提升→通风排水→洗选加工→仓储堆存→装车外运,采掘作业,该工位为矿井事故后的灾区侦测任务，属于非常规应急作业。事故后需进入灾区查探瓦斯浓度、氧气含量、温度、巷道通行状况、被困人员位置。灾区环境存在瓦斯爆炸、顶板垮塌、缺氧窒息、高温、有毒气体等多重风险。救护队员需穿戴呼吸器进入，有效作业时间受氧气瓶容量限制。该工位问题是救援人员进入灾区本身就是冒生命危险、侦测时间窗口有限、二次事故风险高。,灾区环境属于典型人类不可达或不宜到达场景（入口二）；巷道空间为人体设计（入口一）；遥操作模式可让专家远程指导救援（入口七）。,6,煤炭开采和洗选业,5,矿难救援历史上已有大量救护队员牺牲,2,属于低频应急场景，但每座矿井均需具备能力,5,命中V1持续侦测、V5灾情数据、V6多传感融合、V7生还者定位,3,涉及攀爬、跨越障碍、简单搜救操作,1,灾后巷道变形、障碍物随机、完全非结构化,4,侦测失败可重试，主要任务是获取信息,2,救援黄金时间有限，需快速推进
搬运配送-井下物料-狭窄巷道,MaterialHandling-UndergroundSupplies-NarrowTunnel,6-61-610,地质勘探→矿井建设→采掘作业→运输提升→通风排水→洗选加工→仓储堆存→装车外运,采掘作业,该工位覆盖井下物料配送路线，连接井底车场与各采掘工作面。当前由运料工将支护材料、工具、配件等从运输车上搬运至工作面，涉及人工肩扛手提。单件物料重量5-30公斤，配送距离数百米至数公里，路线涉及台阶、斜坡、狭窄通道。典型配置为每班3-5人负责物料配送，单趟耗时30-60分钟。该工位问题是重体力劳动导致劳损、狭窄通道通行效率低、瓦斯环境人员暴露时间长。,井下巷道空间为人体设计，狭窄处仅能人行通过（入口一-空间适配）；瓦斯环境应减少人员滞留（入口二）；双手搬运异形件需双臂协作（入口一-双臂协作）。,6,煤炭开采和洗选业,4,重体力劳动招工难，职业劳损问题突出,5,每座矿井每班多人多趟，全国同类工位以万计,3,命中V1全时、V5配送记录、V6环境感知,2,主要为搬运行走，偶有放置对位,3,巷道固定但存在临时障碍，地面不平,4,配送延迟可调整，不造成物料损伤,4,需配合采掘进度，但有弹性空间
操作监控-装车站-车厢定位,Operation-LoadingStation-WagonPositioning,6-61-610,地质勘探→矿井建设→采掘作业→运输提升→通风排水→洗选加工→仓储堆存→装车外运,装车外运,该工位位于铁路装车站，上游为储煤场或洗选车间，下游为铁路运输。当前由装车工配合自动装车系统工作，负责引导车厢对位、监控装载过程、处理卡煤堵料、调整闸门开度。操作涉及手持对讲机指挥、闸门手轮操作、现场状况判断。典型配置为每班2-3人，单列车装车耗时30-60分钟。该工位问题是人员在铁道旁作业存在安全风险、粉尘环境影响健康、夜间视野受限易误判。,装车站铁道旁作业存在人员安全风险（入口二延伸）；闸门操作为人手设计（入口一）；装车数据需追溯计量（入口五）。,6,煤炭开采和洗选业,4,铁道旁作业存在人身安全风险，已有工伤事故记录,4,全国煤矿铁路装车站数千个,4,命中V1全时、V2一致性、V5装车记录、V6视觉监控,3,涉及闸门调节和异常处理，需中等操作技能,3,车站布局固定但车厢位置有波动,3,操作失误可能导致装载不均需调整,3,需配合列车时刻表，有一定时效要求
操作维护-露天采场-挖掘机点检,Maintenance-OpenPitMine-ExcavatorInspection,6-62-620,地质勘探→矿坑建设→剥离作业→采掘作业→运输→洗选加工→仓储堆存→装车外运,采掘作业,该工位位于露天采场大型挖掘机作业区，褐煤多为露天开采。当前由维护工对电铲、斗轮机等大型设备进行班前点检，检查内容包括液压系统、传动部件、电气系统、结构焊缝。设备高度10-30米，需攀爬检查。典型配置为每班2人负责1-2台大型设备，单台点检耗时30-60分钟。该工位问题是高处作业存在坠落风险、大型设备覆盖不全、恶劣天气影响检查质量。,大型设备高处作业存在坠落风险（入口二延伸）；设备点检数据用于预测性维护（入口五）；遥操作可让专家远程诊断（入口七）。,6,煤炭开采和洗选业,4,高处作业存在坠落风险，已有工伤记录,3,露天矿大型设备数量有限但单价高,4,命中V1全时、V5设备数据、V6振动热成像、V7故障数据,3,涉及攀爬和狭窄空间检查,3,设备结构固定但作业环境多变,4,漏检单项下轮可补,5,班前点检无严格节拍
