l3_id,l3_name,l2_id,l2_name,l1_id,l1_name,scene_name_zh,scene_name_en,industry_code,industry_name,process_step,step_order,total_steps_in_scene,is_new_l3,human_description,duration_estimate,parallel_with,boundary_note,scene_id,source_file
L3-09-07-001,读取-作业单据-接点清单,L2-09-07,标识读取定位,L1-09,感知定位运动,CIP清洗接管-管道系统-多点切换,CIPConnection-PipelineSystem-MultiPoint,15-152-00,酒、饮料和精制茶制造业,杀菌,1,32,True,视觉查看清洗作业单，确认本次需操作的接点位置清单,3-5,,,15-152-00,l3_CIP清洗接管-管道系统-多点切换.json
L3-01-01-001,行走-环氧地坪-匀速,L2-01-01,平地直行,L1-01,全身位移,CIP清洗接管-管道系统-多点切换,CIPConnection-PipelineSystem-MultiPoint,15-152-00,酒、饮料和精制茶制造业,杀菌,2,32,True,行走至工具/备用软管存放区,5-15,,,15-152-00,l3_CIP清洗接管-管道系统-多点切换.json
L3-03-01-001,伸达-工具架-无障碍直线,L2-03-01,空载伸达,L1-03,上肢空间运动,CIP清洗接管-管道系统-多点切换,CIPConnection-PipelineSystem-MultiPoint,15-152-00,酒、饮料和精制茶制造业,杀菌,3,32,True,伸手到软管/卡箍扳手存放位置,1-2,,,15-152-00,l3_CIP清洗接管-管道系统-多点切换.json
L3-04-03-001,工具握持-卡箍扳手-旋拧功能姿,L2-04-03,工具功能握持,L1-04,手部抓握操控,CIP清洗接管-管道系统-多点切换,CIPConnection-PipelineSystem-MultiPoint,15-152-00,酒、饮料和精制茶制造业,杀菌,4,32,True,单手抓握卡箍扳手手柄,1-2,,,15-152-00,l3_CIP清洗接管-管道系统-多点切换.json
L3-04-01-001,力握-软管-直径30至50mm,L2-04-01,力量抓握,L1-04,手部抓握操控,CIP清洗接管-管道系统-多点切换,CIPConnection-PipelineSystem-MultiPoint,15-152-00,酒、饮料和精制茶制造业,杀菌,5,32,True,另一只手抓握备用软管中段,1-2,4,,15-152-00,l3_CIP清洗接管-管道系统-多点切换.json
L3-01-07-001,负载行走-软管及工具-双手分持,L2-01-07,负载行走,L1-01,全身位移,CIP清洗接管-管道系统-多点切换,CIPConnection-PipelineSystem-MultiPoint,15-152-00,酒、饮料和精制茶制造业,杀菌,6,32,True,携带工具和软管行走至第一个CIP接点位置,10-60,,,15-152-00,l3_CIP清洗接管-管道系统-多点切换.json
L3-01-03-001,升降-标准工业楼梯-上行,L2-01-03,梯阶升降,L1-01,全身位移,CIP清洗接管-管道系统-多点切换,CIPConnection-PipelineSystem-MultiPoint,15-152-00,酒、饮料和精制茶制造业,杀菌,7,32,True,沿工业楼梯上行至接点所在平台高度,10-30,,,15-152-00,l3_CIP清洗接管-管道系统-多点切换.json
L3-01-08-001,停位-管道接口旁-厘米级,L2-01-08,精确停位,L1-01,全身位移,CIP清洗接管-管道系统-多点切换,CIPConnection-PipelineSystem-MultiPoint,15-152-00,酒、饮料和精制茶制造业,杀菌,8,32,True,在接点操作位置精确停住脚步,1-2,,,15-152-00,l3_CIP清洗接管-管道系统-多点切换.json
L3-04-07-001,释放-渐进松指-软管落地,L2-04-07,受控释放,L1-04,手部抓握操控,CIP清洗接管-管道系统-多点切换,CIPConnection-PipelineSystem-MultiPoint,15-152-00,酒、饮料和精制茶制造业,杀菌,9,32,True,将携带的软管暂放于脚边地面,1-2,,,15-152-00,l3_CIP清洗接管-管道系统-多点切换.json
L3-09-01-001,注视-管道接口-连接状态确认,L2-09-01,视觉注视对准,L1-09,感知定位运动,CIP清洗接管-管道系统-多点切换,CIPConnection-PipelineSystem-MultiPoint,15-152-00,酒、饮料和精制茶制造业,杀菌,10,32,True,视觉注视当前接口和管路状态，确认操作对象,2-4,,,15-152-00,l3_CIP清洗接管-管道系统-多点切换.json
L3-03-01-002,伸达-阀门手轮-管道侧方,L2-03-01,空载伸达,L1-03,上肢空间运动,CIP清洗接管-管道系统-多点切换,CIPConnection-PipelineSystem-MultiPoint,15-152-00,酒、饮料和精制茶制造业,杀菌,11,32,True,伸手到上游阀门手轮位置,1-2,,,15-152-00,l3_CIP清洗接管-管道系统-多点切换.json
L3-04-01-002,力握-阀门手轮-直径100至200mm,L2-04-01,力量抓握,L1-04,手部抓握操控,CIP清洗接管-管道系统-多点切换,CIPConnection-PipelineSystem-MultiPoint,15-152-00,酒、饮料和精制茶制造业,杀菌,12,32,True,双手握住阀门手轮的轮辐,1-2,,,15-152-00,l3_CIP清洗接管-管道系统-多点切换.json
L3-06-03-001,阀操-截止阀手轮-全开至全闭,L2-06-03,阀门旋转操作,L1-06,旋转操作,CIP清洗接管-管道系统-多点切换,CIPConnection-PipelineSystem-MultiPoint,15-152-00,酒、饮料和精制茶制造业,杀菌,13,32,True,顺时针旋转阀门手轮至全关位置,5-15,,,15-152-00,l3_CIP清洗接管-管道系统-多点切换.json
L3-04-07-002,释放-渐进松指-阀门手轮,L2-04-07,受控释放,L1-04,手部抓握操控,CIP清洗接管-管道系统-多点切换,CIPConnection-PipelineSystem-MultiPoint,15-152-00,酒、饮料和精制茶制造业,杀菌,14,32,True,松开阀门手轮，手指张开,0.5-1,,,15-152-00,l3_CIP清洗接管-管道系统-多点切换.json
