scene_name_zh,scene_name_en,industry_code,industry_chain,process_step,scene_description,selection_rationale,source_major_code,source_major_name,labor_urgency_score,labor_urgency_basis,scale_potential_score,scale_potential_basis,superhuman_value_score,superhuman_value_basis,operation_complexity_score,operation_complexity_basis,structure_level_score,structure_level_basis,fault_tolerance_score,fault_tolerance_basis,takt_pressure_score,takt_pressure_basis,l3_extracted,l3_extracted_at,guide_generated,guide_generated_at,l3_file_path,guide_file_path,operation_complexity_origin_score
搬运码垛-烟叶原料包-50kg重载,Palletizing-TobaccoLeafBales-50kg,16-161-1610,原料验收→解包散叶→润叶回潮→切片切丝→复烤干燥→冷却回潮→打叶去梗→成品包装→入库,原料验收,该工位位于复烤厂原料库入口区，上游为运输车辆卸货，下游为暂存区待检。当前由人工配合叉车完成烟叶包的卸车、堆码和转运，每包重40-60kg，需多人协作搬运。操作对象为麻袋或编织袋包装的烟叶原料，尺寸约80×50×40cm，表面粗糙易滑。典型配置为每班4-6人，单包搬运耗时30-60秒。主要问题为腰肌劳损发病率高、夏季高温作业易中暑、人员流动率超40%。,重载搬运导致职业病高发，符合入口四人工痛点明显；作业需在多个堆垛位间移动，符合入口一多工位切换；包件放置偏差可修正，符合入口三高容错。,16,烟草制品业,4,腰椎病高发，夏季中暑风险，年流动率超40%,3,单厂10-20个同类工位，全国复烤厂约200家,3,V1全时在线+V2一致性码垛+V5过程数据追溯,3,抓取放置，定位精度厘米级，无精密力控,3,库区布局固定，但包件堆放位置有波动,4,放偏可重新调整，无物料损伤风险,4,非产线节拍约束，按车次批量处理,,,,,,,2
拆解散叶-烟叶原料包-多规格适配,BaleOpening-TobaccoLeafPacks-MultiSpec,16-161-1610,原料验收→解包散叶→润叶回潮→切片切丝→复烤干燥→冷却回潮→打叶去梗→成品包装→入库,解包散叶,该工位位于润叶回潮工序前，上游为原料暂存区，下游为振动输送带。当前由人工用刀具割开麻袋或编织袋封口，将压实的烟叶抖散投入输送带。操作对象为不同产地、不同等级的烟叶包，重量30-60kg，压实密度不一。典型配置为每班2-3人，单包处理耗时45-90秒。常见问题为刀具误伤手部、粉尘吸入、烟叶抖散不均导致下游堵料。,需一手扶包一手操作刀具再双手抖散，符合入口一双臂协作；重复性动作易疲劳导致割伤事故，符合入口四注意力衰减痛点。,16,烟草制品业,3,粉尘环境需佩戴口罩，存在刀具割伤风险,3,单厂3-6个同类工位，行业内普遍存在,2,V2一致性散叶消除堵料风险,2,切割+抖散双动作，需判断烟叶松散程度,3,工位固定，但包件朝向和压实度不一,4,散叶不均可补充处理，不损伤烟叶,4,缓冲料仓可吸收速度波动,,,,,,,3
取样检测-复烤烟叶-多点位采集,Sampling-RoastedTobacco-MultiPoint,16-161-1610,原料验收→解包散叶→润叶回潮→切片切丝→复烤干燥→冷却回潮→打叶去梗→成品包装→入库,复烤干燥,该工位分布于复烤线多个关键节点，上游为各工序设备出口，下游为实验室。当前由质检员在复烤前、复烤后、冷却后等多个点位采集烟叶样品送检。操作内容为打开取样口、使用专用取样器抓取定量烟叶、装入样品袋并标记。典型配置每班1-2人负责全线巡回取样，单次取样耗时2-3分钟。问题为取样点位多路线长、高温区域体感不适、取样随机性受人为影响。,需在多个物理工位间移动执行采集任务，符合入口一多工位切换；复烤区环境温度高，符合入口二人类不宜久留；取样漏检可下轮补上，符合入口三高容错。,16,烟草制品业,3,复烤区环境温度50-60℃，需频繁进出,3,单厂4-8个取样点，全行业复烤厂通用,4,V1全时在线+V5自动记录取样数据+V6温湿度同步采集+V2取样一致性,3,开盖取样装袋，动作简单定位宽松,4,取样点位置固定，设备布局标准化,5,漏采可下一批次补上，无任何损失,5,按频次要求采集，无固定节拍,,,,,,,2
巡检记录-复烤设备-温湿度监测,Inspection-RoastingEquipment-TempHumidity,16-161-1610,原料验收→解包散叶→润叶回潮→切片切丝→复烤干燥→冷却回潮→打叶去梗→成品包装→入库,复烤干燥,该工位覆盖整条复烤生产线，上下游为各工序设备。当前由操作工每2小时巡检一次，检查各设备运行状态、读取温湿度仪表、记录异常并上报。巡检路线覆盖润叶机、切丝机、复烤机、冷却机等10余台设备，环境温度从常温到60℃不等。典型配置每班1人，单次巡检耗时30-45分钟。问题为高温区域不愿久留导致漏检、手工记录存在笔误、夜班巡检精力不集中。,需在多个设备间移动读取仪表，符合入口一多工位切换和工具适配；高温区域人体不适，符合入口二环境限制；过程数据需追溯，符合入口五。,16,烟草制品业,3,高温区域巡检体感差，夜班漏检时有发生,4,单厂巡检设备10-20台，所有复烤厂和卷烟厂通用,5,V1全时在线+V2消除漏检+V5自动数据沉淀+V6温度异常预警+V7异常案例积累,4,行走观察读数，无接触操作,4,设备位置固定，巡检路线标准化,5,单次漏读下一轮补上，完全无后果,5,按频次巡检，无产线节拍约束,,,,,,,1
成品码垛-复烤烟叶箱-标准箱规,Palletizing-RoastedTobaccoCartons-Standard,16-161-1610,原料验收→解包散叶→润叶回潮→切片切丝→复烤干燥→冷却回潮→打叶去梗→成品包装→入库,成品包装,该工位位于复烤线末端打包区，上游为自动装箱机，下游为成品库暂存区。当前由人工将封箱后的烟叶箱搬运至托盘并码垛，每箱重25-35kg，标准托盘码垛5层。操作要求码垛整齐、层间交错以保证稳定性。典型配置每班2-3人，单箱码垛耗时8-12秒。问题为连续弯腰负重导致腰部劳损、码垛歪斜导致运输中倒垛。,重复性重载搬运导致职业病，符合入口四人工痛点；需在出箱口与多个托盘位间移动，符合入口一多工位切换；规模化部署可共享码垛策略，符合入口八。,16,烟草制品业,4,日均搬运超500箱，腰椎劳损发病率高,4,单厂2-4个码垛工位，卷烟厂成品码垛同样适用,3,V1全时在线+V2码垛一致性+V5托盘追溯,3,抓取放置，定位精度厘米级,4,出箱位固定，托盘位置标准化,4,放偏可调整，纸箱抗摔,3,需跟上出箱速度，约10秒/箱,,,,,,,2
物料配送-制丝车间-多品种辅料,MaterialDelivery-TobaccoShredding-MultiAuxiliary,16-162-1620,原料入库→制丝加工→加香加料→卷接成型→小盒包装→条盒包装→件箱包装→成品检测→成品入库,制丝加工,该工位覆盖制丝车间全域，上游为辅料库，下游为各制丝设备上料口。当前由物料员推车将香精香料、膨胀剂、保润剂等辅料从库房配送至各设备指定位置，每班配送10-20次。操作内容为领料、核对、推车配送、放置到位、签收确认。典型配置每班2-3人，单次配送耗时5-15分钟。问题为品种多易混淆、路线长体力消耗大、夜班配送延误影响排产。,需在库房与多个设备工位间往返移动，符合入口一多工位切换；配送错误可重新核对纠正，符合入口三高容错；规模化部署可共享配送策略，符合入口八。,16,烟草制品业,3,步行距离长，夜班配送延误时有发生,4,单厂制丝线2-4条，各卷烟厂均需配送岗,4,V1全时在线+V2消除配送错误+V5物料追溯+V4多机共享路径,3,推车配送放置，无精密操作,3,路线固定，但通道内偶有设备维护人员,4,送错可重新配送，辅料不受损,4,按批次需求配送，有缓冲时间,,,,,,,2
上料补充-卷接机组-盘纸烟丝,MaterialLoading-CigaretteMaker-PaperBobbin,16-162-1620,原料入库→制丝加工→加香加料→卷接成型→小盒包装→条盒包装→件箱包装→成品检测→成品入库,卷接成型,该工位位于卷接机组侧面，上游为烟丝输送和盘纸暂存架，下游为卷接机入口。当前由操作工在盘纸用尽或烟丝料位低时进行补充，同时更换滤嘴棒盘和接装纸。单台卷接机组约每30-60分钟需补料一次，盘纸重约15-20kg，滤嘴棒盘重约10kg。典型配置每人负责2-3台机组，单次补料耗时2-4分钟。问题为需频繁走动监控料位、补料动作重复性高、多机同时缺料时手忙脚乱。,需在多台机组间移动监控并补料，符合入口一多工位切换；重复性补料动作易疲劳，符合入口四注意力衰减；规模化机组可共享补料策略，符合入口八。,16,烟草制品业,3,需持续走动监控，多机缺料时压力大,5,单厂卷接机组20-50台，全国卷烟厂以百计,3,V1全时监控+V2补料及时性一致+V5料耗追溯,2,盘纸对位安装，需定位精度毫米级,4,机组布局标准化，上料位置固定,3,安装不到位需重装，耽误生产但不损物料,3,高速卷接机对补料及时性有要求,,,,,,,3
巡检维护-卷接包装设备-多参数监测,Inspection-CigaretteEquipment-MultiParameter,16-162-1620,原料入库→制丝加工→加香加料→卷接成型→小盒包装→条盒包装→件箱包装→成品检测→成品入库,卷接成型,该工位覆盖卷接和包装车间全域，上下游为各生产设备。当前由巡检员每小时巡检一次，检查设备运行参数、异响异味、润滑状态、安全防护等。巡检路线覆盖卷接机组、包装机组等数十台设备，需读取HMI屏幕数据并手工记录。典型配置每班1-2人，单次巡检耗时40-60分钟。问题为设备数量多难以全覆盖、夜班巡检质量下降、异常发现滞后。,需在数十台设备间移动巡检，符合入口一多工位切换；需操作HMI界面读取参数，符合入口一工具适配；生产数据需可追溯，符合入口五。,16,烟草制品业,3,设备数量多巡检压力大，夜班质量下降,5,单厂设备30-60台，全国所有卷烟厂通用,5,V1全时在线+V2消除漏检+V5自动数据沉淀+V6声音振动异常检测+V7故障预警积累,3,行走观察读屏，偶有按钮操作,4,设备位置固定，巡检路线标准化,5,单次漏检下一轮补上，纯数据采集,5,按频次巡检，无产线节拍约束,,,,,,,2
外观检测-成品小盒-多面翻转,VisualInspection-CigarettePack-MultiSide,16-162-1620,原料入库→制丝加工→加香加料→卷接成型→小盒包装→条盒包装→件箱包装→成品检测→成品入库,成品检测,该工位位于小盒包装机出口后的抽检区，上游为包装机，下游为条盒包装。当前由质检员从输送线上随机抽取小盒烟进行六面外观检查，检查印刷质量、封口完整性、拉线位置等。每班抽检数百盒，单盒检查耗时10-15秒。典型配置每班1-2人，工作4小时后漏检率明显上升。问题为视觉疲劳导致漏检、抽检比例有限、检查标准一致性差。,高重复性视觉检查导致注意力衰减，符合入口四；检测可与拿取动作合并，符合入口六；漏检可下批次覆盖，符合入口三。,16,烟草制品业,4,连续检查4小时后漏检率从2%升至8%,4,每条包装线1个检测点，全国数百条线,4,V2检测一致性+V3操作检测合并+V5缺陷数据沉淀+V7缺陷案例库,2,六面翻转检查，需精细定位和视觉判断,4,抽检位固定，小盒规格标准,4,漏检单盒不影响批次，可补抽,4,抽检而非全检，无严格节拍,,,,,,,3
上料补充-条盒包装机-商标纸条盒,MaterialLoading-CartonPacker-BrandPaper,16-162-1620,原料入库→制丝加工→加香加料→卷接成型→小盒包装→条盒包装→件箱包装→成品检测→成品入库,条盒包装,该工位位于条盒包装机侧面，上游为商标纸和条盒坯暂存区，下游为包装机入口。当前由操作工在物料用尽前进行补充，商标纸为卷筒状重约8-12kg，条盒坯为堆叠纸板。单台包装机约每45-90分钟需补料一次。典型配置每人负责2-4台包装机，单次补料耗时1-3分钟。问题为品牌切换时需同步更换物料、多机同时缺料时响应不及。,需在多台包装机间移动监控并补料，符合入口一多工位切换；重复性补料动作，符合入口四；规模化部署可共享补料策略，符合入口八。,16,烟草制品业,2,物料相对轻便，补料频次适中,4,单厂包装机10-30台，各卷烟厂通用,3,V1全时监控+V2补料及时性+V5物料批次追溯,2,卷筒纸对位安装，需毫米级定位,4,上料位置固定，物料规格标准,3,安装不到位需重装，影响产线但不损物料,3,高速包装机对补料及时性有要求,,,,,,,3
